InitialTerm,Sentiment,Anger,Disgust,Fear,Happiness,Sadness,Surprise
############################################################
# This lexicon was compiled from lexicons by D.Spiliotopoulos et al., and A. Tsakalidis et al., with additions by P. Pratikakis.
# Words are not stemmed, this is meant to be used with a stemmer or POS tagger that can look up the base form.
# This works well with the "twAwler" crawler/feature extractor, and with the "el-wiktionary-parser" POS-tagger.
# Redundant entries have been commented out, and sentiment opinions have been averaged, when listed individually in each source lexicon.
############################################################
#άγρια,-1,4,5,4,1,3,3
#άγριο,-1,4,5,4,1,3,3
#άγχος,-2,4,5,5,1,4,3
#άγχους,-3,3,3,3,1,3,1
#άθλια,-4,3,4,3,1,4,1
#άθλος,2,1,1,1,4,1,3
#άκαμπτη,-2,3,3,3,1,3,1
#άκαπνος,-1,1,2,1,1,2,3
#άκαρδος,-4,3,3,1.75,1,2.5,2.25
#άκυρο,-2,3,3,4,1,4,3
#άλαλος,-1,1.5,1.25,2.25,1.75,2,4.75
#άλλοθι,-1,4,4,4,1,3,2
#άνεργος,-2,5,4,5,1,5,3
#άνεση,2,1,1.333333333,1,3.333333333,1,2.666666667
#άντες,-2,4.333333333,3.333333333,1,1.666666667,1.666666667,2.333333333
#άρρωστος,-4,2.25,3.5,2.25,1,1.75,1.5
#άσκοπο,-2,3,3,3,1,3,1
#άστατος,-3,1.666666667,1.666666667,2.333333333,1,1,1.333333333
#άτρομος,-1,1.333333333,1,1,2.666666667,1,2.666666667
#άψογα,2,0,0,0,5,0,2
#έκρηξη,-4,4.75,2.25,1.75,1.5,1.25,3.5
#έλεος,-4,4,4,4,1,5,2
#ένταση,-4,3.25,1.5,1.5,1,1,2
#έντονος,-2,2.666666667,2,2,1.666666667,1.666666667,2
#έξαλλος,-3,4.5,2.5,1.75,2,1.5,3.25
#έξυπνος,2,1,1,1,3,1,1
#έρημος,-4,1,1.75,2.5,1,2.5,1.75
#έτοιμος,1,0,0,0,0,0,0
#έφυγαν,-2,3,2,4,1,4,1
#έχασε,-1,3,2,3,1,3,1
#έχεσε,-4,4,5,4,0,4,3
#έχω,1,0,0,0,0,0,0
#ήττα,-1,3,2,3,1,3,1
#α,1,3.75,4,4,4,3.75,4.75
#αίμα,-2,3.333333333,3,3.333333333,1,1.666666667,3
#αγάπη,3,1,1,1,5,1,1
#αγάπη,4,0,0,1,5,1,2
#αγανάκτηση,-2,5,5,4,1,4,1
#αγανακτισμενοι,-4,5,5,4,0,4,3
#αγανακτώ,-3,5,5,4,0,4,3
#αγαπά,3,1,1,1,5,1,1
#αγαπημένος,3,1,1,1,5,1,1
#αγαπημενο,4,0,0,1,5,1,2
#αγαπησαμε,4,0,0,1,5,1,2
#αγαπητε,2,0,0,1,5,1,2
#αγαπητοι,2,0,0,1,5,1,2
#αγαπητός,2,1,1,1,5,1,1
#αγαπούσε,4,1,1,1,5,1,1
#αγαπω,4,0,0,1,5,1,2
#αγευσία,-1,1,5,1,1,2,1
#αγκουσεύω,-4,2,1.75,3,1,3.5,1
#αγχωθώ,-2,4,5,5,1,4,3
#αγωνία,-2,1,1,4.25,2.5,2.25,1.25
#αγωνία,-3,4,4,5,1,4,5
#αδίστακτοι,-2,3,3,4,0,3,1
#αδίστακτος,-2,5,5,5,1,5,4
#αδερφια,2,1,1,0,5,1,3
#αδιέξοδο,-2,5,5,5,0,4,4
#αδιαφορία,-4,3,2.25,1,1,2.25,1.5
#αδύναμες,-2,2,2,2,1,2,1
#αδύνατο,-1,3,3,3,1,4,4
#αηδία,-4,2.5,5,1,1,1.5,2.25
#αισθηματολόγος,-2,1,3,1,1.333333333,1,1.666666667
#ακριβο,-1,3,2,4,1,4,3
#ακριτοθυμία,-2,3,3,3,1,3,1
#αλήθεια,2,1,1,1,3,1,1
#αλήτης,-2,4,4,3,1,3,1
#αλήτης,-3,4.333333333,4.666666667,2.333333333,1,2.333333333,2.333333333
#αληθειας,2,2,1,3,4,1,3
#αλητειας,-4,4,5,4,1,4,3
#αλητεσ,-4,4,5,4,1,4,3
#αλητη,-4,4,5,4,1,4,3
#αλληλεγγυης,4,0,0,0,5,1,1
#αλογικός,-3,2.666666667,2.666666667,1,1,1.666666667,2
#ανάγκες,-1,3,2,3,2,3,2
#ανήθικος,-3,4,4,4,0,3,1
#ανίκανος,-2,3,3,4,1,4,1
#αναίσθητος,-2,3,3,3,1,3,1
#αναιδής,-2,3,3,3,1,3,1
#ανακαλουνται,-1,3,3,3,1,3,4
#αναλιγώνω,-2,2,3,1,1,1.5,1
#αναπτυξης,2,0,0,0,5,1,2
#αναρχία
#αναρχισμός
